Sampling date,Days post-dosing,Box #,Sample Type,Box Zone,Depth interval (in cm),Sample Replicate Number,Analyte,Analyte Units,199Hg-FeS,nano-200HgS,201Hg-humic,202Hg2+,Ambient Hg
#VALUE!,360,18,s,U,0-2,3,TotHg,ng/g dw,7.71,0.09,0.13,0.14,0.17
#VALUE!,360,16,s,A,0.5-2,T1,MeHg,ng/g dw,0.25650,0.52757,0.55791,0.90113,0.01899
#VALUE!,360,16,s,A,0.5-2,T2,MeHg,ng/g dw,0.08376,0.17486,0.20104,0.33651,0.00815
#VALUE!,360,16,s,A,0.5-2,T3,MeHg,ng/g dw,0.09748,0.18346,0.20382,0.30434,0.01021
#VALUE!,360,16,s,A,0.5-2,T4,MeHg,ng/g dw,0.03477,0.07306,0.07222,0.12753,0.00766
#VALUE!,360,16,s,A,0.5-2,T4,MeHg,ng/g dw,0.02635,0.05658,0.05419,0.10112,0.00780
#VALUE!,360,16,s,A,0.5-2,T6,MeHg,ng/g dw,0.03814,0.08043,0.09446,0.13286,0.00955
#VALUE!,360,17,s,A,0.5-2,T1,MeHg,ng/g dw,0.05852,0.12379,0.11527,0.18242,0.00720
#VALUE!,360,17,s,A,0.5-2,T2,MeHg,ng/g dw,0.03837,0.06955,0.05479,0.10565,0.00649
#VALUE!,360,17,s,A,0.5-2,T3,MeHg,ng/g dw,0.04052,0.07125,0.04330,0.09592,0.00872
#VALUE!,360,17,s,A,0.5-2,T4,MeHg,ng/g dw,0.02550,0.06248,0.06462,0.12595,0.00729
#VALUE!,360,17,s,A,0.5-2,T4,MeHg,ng/g dw,0.08378,0.16314,0.16834,0.25601,0.00683
#VALUE!,360,17,s,A,0.5-2,T6,MeHg,ng/g dw,0.37570,0.59999,0.36988,0.77312,0.02454
#VALUE!,360,18,s,A,0.5-2,T1,MeHg,ng/g dw,0.05060,0.09707,0.11586,0.14701,0.00954
#VALUE!,360,18,s,A,0.5-2,T2,MeHg,ng/g dw,0.04835,0.11202,0.12447,0.18960,0.00441
#VALUE!,360,18,s,A,0.5-2,T3,MeHg,ng/g dw,0.04434,0.09818,0.09864,0.16136,0.00695
#VALUE!,360,18,s,A,0.5-2,T4,MeHg,ng/g dw,0.11489,0.25315,0.30914,0.33910,0.00446
#VALUE!,360,18,s,A,0.5-2,T4,MeHg,ng/g dw,0.04754,0.11029,0.10846,0.19507,0.00716
#VALUE!,360,18,s,A,0.5-2,T6,MeHg,ng/g dw,0.02726,0.06720,0.06939,0.13369,0.00595
#VALUE!,360,16,s,A, 2-5,D1,MeHg,ng/g dw,0.06008,0.16119,0.22711,0.34286,0.01580
#VALUE!,360,16,s,A, 2-5,D2,MeHg,ng/g dw,0.16335,0.37419,0.47351,0.52663,0.00393
