site name,site code,state,system,subsite,latitude,longitude,individual ID,sample_date,sample date,sample month,sample year,sample type,sample depth (cm),sediment MeHg (ng/g DW),mehg_units,sediment THg (ng/g DW),total_hg_units,%LOI,%MeHg,,,,notes,notes 2,notes 3,,,,,file name for data pull
Barn Island,BI-L,CT,Long Island Sound,LOC,41.33838,-71.87983,BI LOC,08/01/2015,,August,2015,grab,0-4,0.713477216841332,(ng/g DW),16.509,(ng/g DW),2.32067510548522,4,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Barn Island,BI-L,CT,Long Island Sound,LOC,41.33838,-71.87983,BI LOC,08/01/2015,,August,2015,grab,0-4,0.505589931416357,(ng/g DW),10.4119,(ng/g DW),1.77130139591225,5,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Barn Island,BI-L,CT,Long Island Sound,LOC,41.33838,-71.87983,BI LOC,08/01/2015,,August,2015,grab,0-4,0.385117163083004,(ng/g DW),13.0954,(ng/g DW),2.14680044164945,3,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Drake's Island,DI-H,ME,Webhannet River,HOC,43.33027,-70.55853,DR HOC,09/01/2015,,September,2015,grab,0-4,0.878069865814736,(ng/g DW),16.0221,(ng/g DW),6.88935281837165,5,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Drake's Island,DI-H,ME,Webhannet River,HOC,43.33027,-70.55853,DR HOC,09/01/2015,,September,2015,grab,0-4,0.966054604923942,(ng/g DW),31.8988,(ng/g DW),7.69230769230769,3,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Drake's Island,DI-H,ME,Webhannet River,HOC,43.33027,-70.55853,DR HOC,09/01/2015,,September,2015,grab,0-4,0.29892342787791,(ng/g DW),11.259,(ng/g DW),5.66561995423521,3,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Drake's Island,DI-H,ME,Webhannet River,HOC,43.33027,-70.55853,DR HOC,09/01/2015,,September,2015,grab,0-4,0.347649965490951,(ng/g DW),10.4061,(ng/g DW),5.70522979397781,3,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Drake's Island,DI-H,ME,Webhannet River,HOC,43.33027,-70.55853,DR HOC,09/01/2015,,September,2015,grab,0-4,0.355262783035621,(ng/g DW),30.1329,(ng/g DW),4.16471449881791,1,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Drake's Island,DI-H,ME,Webhannet River,HOC,43.33027,-70.55853,DR HOC,09/01/2015,,September,2015,grab,0-4,0.279000028542424,(ng/g DW),27.9467,(ng/g DW),9.15851026016696,1,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Drake's Island,DI-H,ME,Webhannet River,HOC,43.33027,-70.55853,DR HOC,09/01/2015,,September,2015,grab,0-4,0.293748158681602,(ng/g DW),7.5609,(ng/g DW),4.69696969696968,4,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
