site name,site code,state,system,subsite,latitude,longitude,individual ID,sample date,sample month,sample day,sample year,taxonomic group,Genus,species,common name,wet weight (g),dry weight (g),length (mm),width (mm),MeHg (ng/g DW),iHg (ng/g DW),THg sum species (ng/g DW),THg DMA (ng/g DW),tissue,n (if composite),notes,notes 2,notes 3,DORM % recovery,TORT2 % recovery,analysis duplicate RPD,,file name for data pull,,,MeHg DL,iHg DL
Route 3 Underpass,3A,NJ,Berry's Creek,,40.81124,-74.09121,8383,13-Jul-16,July,13,2016,teleost,Menidia,menidia,silverside,1.8358,0.407499999999999,64.5,,,,,1432.74455445545,,,,,,,,,,,,,,
Route 3 Underpass,3A,NJ,Berry's Creek,,40.81124,-74.09121,8384,13-Jul-16,July,13,2016,teleost,Menidia,menidia,silverside,1.4336,0.304300000000001,59,,,,,1981.94337349398,,,,,,,,,,,,,,
Route 3 Underpass,3A,NJ,Berry's Creek,,40.81124,-74.09121,8385,13-Jul-16,July,13,2016,teleost,Menidia,menidia,silverside,1.6611,0.372299999999999,60.5,,,,,1058.6903276131,,,,,,,,,,,,,,
Route 3 Underpass,3A,NJ,Berry's Creek,,40.81124,-74.09121,8386,13-Jul-16,July,13,2016,teleost,Menidia,menidia,silverside,1.5634,0.356400000000001,60,,,,,1031.66032934132,,,,,,,,,,,,,,
Laurel Hill,LH,NJ,Hackensack River,,40.7627,-74.08808,8387,12-Jul-16,July,12,2016,teleost,Menidia,menidia,silverside,1.3134,0.286100000000001,61,,,,,528.553095975232,,,,,,,,,,,,,,
Laurel Hill,LH,NJ,Hackensack River,,40.7627,-74.08808,8388,12-Jul-16,July,12,2016,teleost,Menidia,menidia,silverside,1.6126,0.378900000000002,63,,,,,198.881212121212,,,,,,,,,,,,,,
Laurel Hill,LH,NJ,Hackensack River,,40.7627,-74.08808,8389,12-Jul-16,July,12,2016,teleost,Menidia,menidia,silverside,1.0391,0.232500000000002,60,,,,,212.030962343096,,,,,,,,,,,,,,
Laurel Hill,LH,NJ,Hackensack River,,40.7627,-74.08808,8390,12-Jul-16,July,12,2016,teleost,Menidia,menidia,silverside,1.2259,0.257300000000001,55,,,,,207.372648335745,,,,,,,,,,,,,,
Laurel Hill,LH,NJ,Hackensack River,,40.7627,-74.08808,8391,12-Jul-16,July,12,2016,teleost,Menidia,menidia,silverside,1.1771,0.262699999999999,56,,,,,188.347717231222,,,,,,,,,,,,,,
Rutkowski Park,RP,NJ,Hackensack River,,40.68846,-74.11045,8392,12-Jul-16,July,12,2016,teleost,Menidia,menidia,silverside,1.3864,0.324199999999998,60,,,,,888.825454545455,,,,,,,,,,,,,,
Rutkowski Park,RP,NJ,Hackensack River,,40.68846,-74.11045,8393,12-Jul-16,July,12,2016,teleost,Menidia,menidia,silverside,1.4656,0.334300000000002,61,,,,,1093.87587719298,,,,,,,,,,,,,,
Rutkowski Park,RP,NJ,Hackensack River,,40.68846,-74.11045,8394,12-Jul-16,July,12,2016,teleost,Menidia,menidia,silverside,1.4556,0.334099999999999,59,,,,,537.621866295265,,,,,,,,,,,,,,
Rutkowski Park,RP,NJ,Hackensack River,,40.68846,-74.11045,8395,12-Jul-16,July,12,2016,teleost,Menidia,menidia,silverside,1.808,0.419999999999998,63,,,,,631.565211459754,,,,,,,,,,,,,,
Rutkowski Park,RP,NJ,Hackensack River,,40.68846,-74.11045,8396,12-Jul-16,July,12,2016,teleost,Menidia,menidia,silverside,1.8229,0.409400000000002,64,,,,,1140.35871156662,,,,,,,,,,,,,,
Veteran's Park,VP,NJ,Hackensack River,,40.67028,-74.12708,8397,14-Jul-16,July,14,2016,teleost,Menidia,menidia,silverside,1.1947,0.288499999999999,58.5,,,,,96.40484375,,,,,,,,,,,,,,
Veteran's Park,VP,NJ,Hackensack River,,40.67028,-74.12708,8398,14-Jul-16,July,14,2016,teleost,Menidia,menidia,silverside,1.3079,0.315799999999999,62,,,,,88.7064814814815,,,,,,,,,,,,,,
Veteran's Park,VP,NJ,Hackensack River,,40.67028,-74.12708,8399,14-Jul-16,July,14,2016,teleost,Menidia,menidia,silverside,0.644200000000001,0.1448,48,,,,,108.179137691238,,,,,,,,,,,,,,
Veteran's Park,VP,NJ,Hackensack River,,40.67028,-74.12708,8400,14-Jul-16,July,14,2016,teleost,Menidia,menidia,silverside,0.713799999999999,0.162199999999999,50.5,,,,,148.287770897833,,,,,,,,,,,,,,
Veteran's Park,VP,NJ,Hackensack River,,40.67028,-74.12708,8401,14-Jul-16,July,14,2016,teleost,Menidia,menidia,silverside,0.648999999999997,0.154399999999999,49,,,,,188.358611111111,,,,,,,,,,,,,,
East Union,EU,NJ,Berry's Creek,,40.82057,-74.08614,8402,12-Jul-16,July,12,2016,decapod,Palaemonetes,spp.,grass shrimp,0.363000000000003,0.0778,29,,803,343,1146,,,,,,inorganic Hg peak calibrated from MeHg calculation due to missed iHg spike,,,,,Shrimp Speciation Reporting Results v2,,,,
